algo,n,comparisons,swaps,allocations,maxDepth,elapsedNanos
mergesort,1000,10425,9700,1000,7,414700
quicksort,1000,11521,6993,0,7,949600
quicksort,5000,69541,38425,0,9,3213500
mergesort,5000,66581,62733,5000,9,1584900
select,3000,28875,20422,3000,8,929900
closest,4000,88665,0,37264,8,37630500
closest,78900,1677369,0,1257086,13,385359500
select,10000,98168,69192,10000,10,3208100
select,5000,48150,34048,5000,9,2868200
mergesort,10000,143422,135712,10000,10,2408500
mergesort,10000,143422,135712,10000,10,4174500
mergesort,10000,143422,135712,10000,10,2910900
mergesort,10000,143422,135712,10000,10,2848800
mergesort,10000,143422,135712,10000,10,2903700
mergesort,10000,143422,135712,10000,10,3192500